product_id,product_loaded_at,product_category,product_created_at,prodcut_updated_at,product_title,variant_id,variant_sku,variant_title,variant_created_at,variant_updated_at,variant_option1,variant_option2
5055670485051,11/25/2020 18:37:25,Sheet Set,10/26/2020 17:15:16,11/25/2020 18:26:43,Ivory Signature Hemmed Sheet Set,34269321494587,DSETKSS30HIV,Ivory / Split King,10/26/2020 17:15:17,11/25/2020 7:03:50,,
5055670485051,2/26/2021 20:34:01,Sheet Set,10/26/2020 17:15:16,2/26/2021 20:27:30,Ivory Signature Hemmed Sheet Set,34269321297979,DSETT1XS30HIV,Ivory / Twin XL,10/26/2020 17:15:17,2/17/2021 14:16:59,,
5055670485051,1/13/2021 5:02:20,Sheet Set,10/26/2020 17:15:16,1/13/2021 4:39:56,Ivory Signature Hemmed Sheet Set,34269321461819,DSETCKS30HIV,Ivory / California King,10/26/2020 17:15:17,1/12/2021 19:07:59,,
5055670485051,4/15/2021 3:04:55,Sheet Set,10/26/2020 17:15:16,4/15/2021 2:45:46,Ivory Signature Hemmed Sheet Set,34269321363515,DSETQUS30HIV,Ivory / Queen,10/26/2020 17:15:17,4/15/2021 2:42:44,,
5055670485051,4/14/2021 15:36:13,Sheet Set,10/26/2020 17:15:16,4/14/2021 15:28:30,Ivory Signature Hemmed Sheet Set,34269321330747,DSETFLS30HIV,Ivory / Full,10/26/2020 17:15:17,4/7/2021 20:27:03,,
5055670485051,12/30/2020 17:36:09,Sheet Set,10/26/2020 17:15:16,12/30/2020 17:26:24,Ivory Signature Hemmed Sheet Set,34269321330747,DSETFLS30HIV,Ivory / Full,10/26/2020 17:15:17,12/30/2020 16:58:16,,
5055670485051,1/4/2021 16:34:33,Sheet Set,10/26/2020 17:15:16,1/4/2021 16:25:57,Ivory Signature Hemmed Sheet Set,34269321461819,DSETCKS30HIV,Ivory / California King,10/26/2020 17:15:17,1/2/2021 19:25:45,,
5055670485051,3/24/2021 3:31:59,Sheet Set,10/26/2020 17:15:16,3/24/2021 3:25:32,Ivory Signature Hemmed Sheet Set,34269321429051,DSETKTS30HIV,Ivory / King w/ Std. Cases,10/26/2020 17:15:17,3/24/2021 0:17:50,,
6664154021947,12/27/2021 4:04:07,Sheet Sets,9/30/2021 21:41:46,12/27/2021 3:46:07,Flannel Modern Plaid Sheet Set,39668802846779,SSSFPTPLMPSHTW,Shore / Twin,10/7/2021 18:32:04,12/26/2021 13:29:10,,
5502700865,2/25/2020 8:59:11,Shams,3/22/2016 18:21:39,2/25/2020 8:41:11,Classic Hemmed Sham,17979725057,DSHMKIS30HWT,White / King,4/26/2016 14:37:39,2/23/2020 16:22:20,,
5502700865,9/1/2020 13:32:54,Shams,3/22/2016 18:21:39,9/1/2020 13:15:20,Classic Hemmed Sham,31081918693435,TSHSSBRSD,Beige / Standard,11/13/2019 16:51:55,8/18/2020 22:09:45,,
5502700865,6/12/2020 13:58:01,Shams,3/22/2016 18:21:39,6/12/2020 13:40:09,Classic Hemmed Sham,31081920036923,TSHSSBRE,Beige / Euro,11/13/2019 16:55:08,6/7/2020 13:43:12,,
2264642584635,3/25/2020 16:00:50,Shams,6/10/2019 14:55:25,3/25/2020 15:46:58,Matelassé Windowpane Sham,32384734920763,TSHTXMWTK,White / King,2/26/2020 16:14:29,3/25/2020 15:17:52,,
5042574524475,11/27/2020 0:32:40,Sheet Sets,10/5/2020 12:52:54,11/27/2020 0:24:06,Signature Hemmed Fitted Sheet Set,34230857138235,SSEUCHSHKS,Shore / King w/ Std. Cases,10/5/2020 12:57:31,11/24/2020 14:17:40,,
5042574524475,11/5/2020 19:30:09,Sheet Sets,10/5/2020 12:52:54,11/5/2020 19:11:18,Signature Hemmed Fitted Sheet Set,34230856843323,SSEUCHIVCK,Ivory / California King,10/5/2020 12:57:31,11/4/2020 20:52:11,,
4331055251515,5/5/2022 6:29:09,Sheet Sets,11/14/2019 16:35:29,5/5/2022 6:04:01,Reserve Sheet Set,39300729929787,BSHLXLXSSPWKN,Pewter / King,3/22/2021 17:16:17,5/4/2022 18:02:43,,
4331055251515,4/27/2022 22:37:26,Sheet Sets,11/14/2019 16:35:29,4/27/2022 22:20:51,Reserve Sheet Set,39300734419003,BSHLXLXSSPWSK,Pewter / Split King,3/22/2021 17:18:56,4/27/2022 20:43:58,,
6550648651835,12/19/2021 20:04:45,Sheet Sets,3/22/2021 18:04:39,12/19/2021 19:50:53,Linen Sheet Set,39300806541371,BSHLNSSMNKN,Mineral / King w/ Std. Cases,3/22/2021 18:07:45,11/30/2021 7:00:57,,
6550648651835,6/13/2022 22:06:29,Sheet Sets,3/22/2021 18:04:39,6/13/2022 21:55:25,Linen Sheet Set,39300803952699,BSHLNSSWTKN,White / King,3/22/2021 18:04:40,6/13/2022 3:39:05,,
5041809293371,11/29/2021 0:01:02,Sheet Sets,10/2/2020 16:02:29,11/28/2021 23:47:00,Flannel Solid Sheet Set,34227272417339,SSETFLFLNOWT,White / Full,10/2/2020 16:02:30,11/28/2021 19:02:01,,
2250135175227,10/2/2019 6:34:35,Flat Sheet,5/22/2019 16:11:22,10/2/2019 6:03:45,White Flat Sheet,21036902285371,DFLTTWXS30NWT,White / Twin XL,5/22/2019 16:17:15,9/24/2019 4:22:08,,
5505404673,10/14/2019 14:57:43,Fitted Sheets,3/23/2016 0:05:38,10/14/2019 14:29:01,Classic Fitted Sheet,16872069825,DFITKIS30NWT,White / King,3/23/2016 0:05:38,10/14/2019 14:29:01,,
5505404673,9/21/2019 13:40:18,Fitted Sheets,3/23/2016 0:05:38,9/21/2019 13:09:50,Fitted Sheet,2768903569421,DFITFLS30NIV,Ivory / Full,1/2/2018 16:51:03,9/12/2019 4:10:40,,
5505404673,9/29/2019 7:29:28,Fitted Sheets,3/23/2016 0:05:38,9/29/2019 7:23:10,Classic Fitted Sheet,16872069825,DFITKIS30NWT,White / King,3/23/2016 0:05:38,9/29/2019 2:19:25,,
5505404673,10/15/2019 18:11:10,Fitted Sheets,3/23/2016 0:05:38,10/15/2019 17:50:05,Classic Fitted Sheet,16872069697,DFITKIS30NPW,Pewter / King,3/23/2016 0:05:38,10/10/2019 20:54:30,,
5505404673,12/23/2019 17:33:37,Fitted Sheets,3/23/2016 0:05:38,12/23/2019 17:14:35,Classic Fitted Sheet,2768806215693,DFITTWXS30NNU,Natural / Twin XL,1/2/2018 16:44:31,12/9/2019 18:58:39,,
5505404673,12/19/2019 21:02:50,Fitted Sheets,3/23/2016 0:05:38,12/19/2019 20:39:40,Classic Fitted Sheet,2768845111309,DFITTWXS30NSH,Shore / Twin XL,1/2/2018 16:47:03,12/18/2019 17:58:25,,
